"","Extract Name","Comment [TCGA Barcode]","Protocol REF","Labeled Extract Name","Label","Term Source REF","Protocol REF","Hybridization Name","Array Design REF","Term Source REF","Protocol REF","Protocol REF","Scan Name","Array Data File","Comment [TCGA Archive Name]","Comment [TCGA Data Type]","Comment [TCGA Data Level]","Comment [TCGA Include for Analysis]","Protocol REF","Normalization Name","Derived Array Data Matrix File","Comment [TCGA Archive Name]","Comment [TCGA Data Type]","Comment [TCGA Data Level]","Comment [TCGA Include for Analysis]","Protocol REF","Normalization Name","Derived Array Data Matrix File","Comment [TCGA Archive Name]","Comment [TCGA Data Type]","Comment [TCGA Data Level]","Comment [TCGA Include for Analysis]","Comment [Genome reference]"
"1","01c39c12-8955-43c7-9a2b-2775d405673f","TCGA-A6-4107-01A-02D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","Cy3","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","5775041065_R01C01_Grn.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-A6-4107-01A-02D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-4107-01A-02D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"2","01c39c12-8955-43c7-9a2b-2775d405673f","TCGA-A6-4107-01A-02D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","Cy5","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","5775041065_R01C01_Red.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-A6-4107-01A-02D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-A6-4107-01A-02D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-4107-01A-02D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"3","df9161f3-1df2-49d6-b532-c8cf14e7ca13","TCGA-AA-3510-01A-01D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","Cy3","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","5775041065_R02C01_Grn.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-AA-3510-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AA-3510-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"4","df9161f3-1df2-49d6-b532-c8cf14e7ca13","TCGA-AA-3510-01A-01D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","Cy5","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","5775041065_R02C01_Red.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-AA-3510-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AA-3510-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AA-3510-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"5","28295cbb-a49f-45de-9a41-835365185eeb","TCGA-AZ-4308-01A-01D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","Cy3","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","5775041065_R03C01_Grn.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-AZ-4308-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AZ-4308-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"6","28295cbb-a49f-45de-9a41-835365185eeb","TCGA-AZ-4308-01A-01D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","Cy5","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","5775041065_R03C01_Red.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-AZ-4308-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AZ-4308-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AZ-4308-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"7","4eab1f1c-1fe7-4b88-bff6-71c1a7120c53","TCGA-A6-2679-01A-02D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","Cy3","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","5775041065_R04C01_Grn.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-A6-2679-01A-02D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-2679-01A-02D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"8","4eab1f1c-1fe7-4b88-bff6-71c1a7120c53","TCGA-A6-2679-01A-02D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","Cy5","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","5775041065_R04C01_Red.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-A6-2679-01A-02D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-A6-2679-01A-02D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-2679-01A-02D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"9","19093def-c672-439a-a46f-6b91022443ba","TCGA-AZ-4682-01B-01D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","Cy3","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","5775041065_R05C01_Grn.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-AZ-4682-01B-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AZ-4682-01B-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"10","19093def-c672-439a-a46f-6b91022443ba","TCGA-AZ-4682-01B-01D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","Cy5","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","5775041065_R05C01_Red.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-AZ-4682-01B-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AZ-4682-01B-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AZ-4682-01B-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
"11","9123b699-643f-47f4-b094-d693e1668b9a","TCGA-AA-3492-01A-01D-1407-05","jhu-usc.edu:labeling:HumanMethylation450:01","TCGA-AA-3492-01A-01D-1407-05","Cy3","MGED Ontology","jhu-usc.edu:hybridization:HumanMethylation450:01","TCGA-AA-3492-01A-01D-1407-05","Illumina.com:PhysicalArrayDesign:HumanMethylation450","caArray","jhu-usc.edu:image_acquisition:HumanMethylation450:01","jhu-usc.edu:feature_extraction:HumanMethylation450:01","TCGA-AA-3492-01A-01D-1407-05","5775041065_R06C01_Grn.idat","jhu-usc.edu_COAD.HumanMethylation450.Level_1.1.9.0","DNA Methylation","Level 1","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AA-3492-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-2.TCGA-AA-3492-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_2.1.9.0","DNA Methylation","Level 2","yes","jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01","TCGA-AA-3492-01A-01D-1407-05","jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AA-3492-01A-01D-1407-05.txt","jhu-usc.edu_COAD.HumanMethylation450.Level_3.1.9.0","DNA Methylation","Level 3","yes","HG19"
